test,anchor,variant,dx,dy,matcher,inliers,total_matches,reproj_err_px,success,inference_ms
spatial_overlap,oskil_river.jpg,dx0_dy64,0,64,superpoint_lightglue,1368,1368,0.02,1,2794.8
spatial_overlap,oskil_river.jpg,dx0_dy64,0,64,xfeat,3264,3306,0.01,1,113.7
spatial_overlap,oskil_river.jpg,dx0_dy128,0,128,orb,842,844,0.11,1,9.9
spatial_overlap,oskil_river.jpg,dx0_dy128,0,128,superpoint_lightglue,1129,1129,0.02,1,2839.2
spatial_overlap,oskil_river.jpg,dx0_dy128,0,128,xfeat,2717,2775,0.03,1,114.2
spatial_overlap,oskil_river.jpg,dx0_dy256,0,256,orb,330,342,0.60,1,9.2
spatial_overlap,oskil_river.jpg,dx0_dy256,0,256,superpoint_lightglue,642,642,0.05,1,2863.7
spatial_overlap,oskil_river.jpg,dx0_dy256,0,256,xfeat,1552,1756,0.03,1,116.5
spatial_overlap,oskil_river.jpg,dx64_dy64,64,64,orb,669,748,0.24,1,10.1
spatial_overlap,oskil_river.jpg,dx64_dy64,64,64,superpoint_lightglue,1199,1200,0.03,1,2830.4
spatial_overlap,oskil_river.jpg,dx64_dy64,64,64,xfeat,2708,2811,0.02,1,118.5
spatial_overlap,oskil_river.jpg,dx128_dy128,128,128,orb,565,567,0.14,1,9.8
spatial_overlap,oskil_river.jpg,dx128_dy128,128,128,superpoint_lightglue,870,873,0.03,1,2832.3
spatial_overlap,oskil_river.jpg,dx128_dy128,128,128,xfeat,1889,2068,0.04,1,111.0
spatial_overlap,oskil_river.jpg,dx192_dy192,192,192,orb,286,287,0.79,1,8.7
spatial_overlap,oskil_river.jpg,dx192_dy192,192,192,superpoint_lightglue,534,538,0.05,1,2871.1
spatial_overlap,oskil_river.jpg,dx192_dy192,192,192,xfeat,1122,1443,0.23,1,111.4
spatial_overlap,severodonetsk.jpg,dx0_dy0,0,0,orb,2000,2000,0.00,1,22.8
spatial_overlap,severodonetsk.jpg,dx0_dy0,0,0,superpoint_lightglue,2048,2048,0.00,1,2932.7
spatial_overlap,severodonetsk.jpg,dx0_dy0,0,0,xfeat,4096,4096,0.00,1,112.6
spatial_overlap,severodonetsk.jpg,dx32_dy0,32,0,orb,1361,1470,0.28,1,23.4
spatial_overlap,severodonetsk.jpg,dx32_dy0,32,0,superpoint_lightglue,1893,1894,0.03,1,2913.2
spatial_overlap,severodonetsk.jpg,dx32_dy0,32,0,xfeat,3745,3751,0.00,1,125.5
spatial_overlap,severodonetsk.jpg,dx64_dy0,64,0,orb,1217,1326,0.19,1,22.8
spatial_overlap,severodonetsk.jpg,dx64_dy0,64,0,superpoint_lightglue,1781,1782,0.01,1,2909.5
spatial_overlap,severodonetsk.jpg,dx64_dy0,64,0,xfeat,3459,3471,0.01,1,113.5
spatial_overlap,severodonetsk.jpg,dx128_dy0,128,0,orb,975,1008,0.14,1,22.8
spatial_overlap,severodonetsk.jpg,dx128_dy0,128,0,superpoint_lightglue,1549,1550,0.04,1,2895.9
spatial_overlap,severodonetsk.jpg,dx128_dy0,128,0,xfeat,2885,2928,0.01,1,124.5
spatial_overlap,severodonetsk.jpg,dx192_dy0,192,0,orb,714,728,0.15,1,22.3
spatial_overlap,severodonetsk.jpg,dx192_dy0,192,0,superpoint_lightglue,1303,1304,0.05,1,2911.3
spatial_overlap,severodonetsk.jpg,dx192_dy0,192,0,xfeat,2275,2357,0.01,1,125.5
spatial_overlap,severodonetsk.jpg,dx256_dy0,256,0,orb,497,567,0.59,1,22.0
spatial_overlap,severodonetsk.jpg,dx256_dy0,256,0,superpoint_lightglue,1042,1043,0.04,1,2954.0
spatial_overlap,severodonetsk.jpg,dx256_dy0,256,0,xfeat,1681,1907,0.01,1,124.2
spatial_overlap,severodonetsk.jpg,dx0_dy64,0,64,orb,1315,1336,0.12,1,22.8
spatial_overlap,severodonetsk.jpg,dx0_dy64,0,64,superpoint_lightglue,1747,1747,0.03,1,2938.0
spatial_overlap,severodonetsk.jpg,dx0_dy64,0,64,xfeat,3509,3521,0.00,1,115.1
spatial_overlap,severodonetsk.jpg,dx0_dy128,0,128,orb,1047,1059,0.16,1,22.4
spatial_overlap,severodonetsk.jpg,dx0_dy128,0,128,superpoint_lightglue,1485,1485,0.05,1,2882.2
spatial_overlap,severodonetsk.jpg,dx0_dy128,0,128,xfeat,2892,2929,0.01,1,124.6
