anchor,matcher,tilt_deg,scale,yaw_deg,gamma,shadow,inliers,total_matches,reproj_err_px,success
donbas_rural.jpg,superpoint_lightglue,20,1.0,90,1.0,0.0,6,35,984.30,0
donbas_rural.jpg,orb,20,1.0,90,1.0,0.4,426,458,1.03,1
donbas_rural.jpg,superpoint_lightglue,20,1.0,90,1.0,0.4,7,33,1077.07,0
donbas_rural.jpg,orb,20,1.0,90,1.8,0.0,536,572,0.77,1
donbas_rural.jpg,superpoint_lightglue,20,1.0,90,1.8,0.0,7,34,839.00,0
donbas_rural.jpg,orb,20,1.0,90,1.8,0.4,342,376,1.74,1
donbas_rural.jpg,superpoint_lightglue,20,1.0,90,1.8,0.4,5,30,1052.05,0
donbas_rural.jpg,orb,20,1.4,0,1.0,0.0,443,505,2.33,1
donbas_rural.jpg,superpoint_lightglue,20,1.4,0,1.0,0.0,925,1002,0.48,1
donbas_rural.jpg,orb,20,1.4,0,1.0,0.4,209,321,10.22,0
donbas_rural.jpg,superpoint_lightglue,20,1.4,0,1.0,0.4,685,969,3.27,1
donbas_rural.jpg,orb,20,1.4,0,1.8,0.0,320,408,18.69,0
donbas_rural.jpg,superpoint_lightglue,20,1.4,0,1.8,0.0,813,942,1.36,1
donbas_rural.jpg,orb,20,1.4,0,1.8,0.4,141,236,9.25,0
donbas_rural.jpg,superpoint_lightglue,20,1.4,0,1.8,0.4,753,925,3.93,1
donbas_rural.jpg,orb,20,1.4,30,1.0,0.0,364,560,59.46,0
donbas_rural.jpg,superpoint_lightglue,20,1.4,30,1.0,0.0,914,1017,1.66,1
donbas_rural.jpg,orb,20,1.4,30,1.0,0.4,303,328,1.22,1
donbas_rural.jpg,superpoint_lightglue,20,1.4,30,1.0,0.4,871,989,0.57,1
donbas_rural.jpg,orb,20,1.4,30,1.8,0.0,384,446,12.33,0
donbas_rural.jpg,superpoint_lightglue,20,1.4,30,1.8,0.0,763,963,1.73,1
donbas_rural.jpg,orb,20,1.4,30,1.8,0.4,194,261,4.05,1
donbas_rural.jpg,superpoint_lightglue,20,1.4,30,1.8,0.4,831,937,2.29,1
donbas_rural.jpg,orb,20,1.4,90,1.0,0.0,431,500,2.88,1
donbas_rural.jpg,superpoint_lightglue,20,1.4,90,1.0,0.0,4,11,1087.39,0
donbas_rural.jpg,orb,20,1.4,90,1.0,0.4,350,415,9.38,0
donbas_rural.jpg,superpoint_lightglue,20,1.4,90,1.0,0.4,4,13,1098.63,0
donbas_rural.jpg,orb,20,1.4,90,1.8,0.0,359,438,6.24,0
donbas_rural.jpg,superpoint_lightglue,20,1.4,90,1.8,0.0,4,20,1663.91,0
donbas_rural.jpg,orb,20,1.4,90,1.8,0.4,227,324,17.71,0
donbas_rural.jpg,superpoint_lightglue,20,1.4,90,1.8,0.4,5,25,2156.20,0
donbas_rural.jpg,orb,30,0.7,0,1.0,0.0,325,405,3.29,1
donbas_rural.jpg,superpoint_lightglue,30,0.7,0,1.0,0.0,954,1185,1.11,1
donbas_rural.jpg,orb,30,0.7,0,1.0,0.4,224,241,6.46,0
donbas_rural.jpg,superpoint_lightglue,30,0.7,0,1.0,0.4,989,1168,1.07,1
donbas_rural.jpg,orb,30,0.7,0,1.8,0.0,247,316,12.75,0
donbas_rural.jpg,superpoint_lightglue,30,0.7,0,1.8,0.0,1059,1192,1.18,1
donbas_rural.jpg,orb,30,0.7,0,1.8,0.4,147,181,3.23,1
donbas_rural.jpg,superpoint_lightglue,30,0.7,0,1.8,0.4,1003,1166,0.67,1
donbas_rural.jpg,orb,30,0.7,30,1.0,0.0,374,400,3.40,1
donbas_rural.jpg,superpoint_lightglue,30,0.7,30,1.0,0.0,1006,1128,1.74,1
donbas_rural.jpg,orb,30,0.7,30,1.0,0.4,236,260,0.91,1
donbas_rural.jpg,superpoint_lightglue,30,0.7,30,1.0,0.4,935,1089,2.25,1
donbas_rural.jpg,orb,30,0.7,30,1.8,0.0,280,321,6.41,0
donbas_rural.jpg,superpoint_lightglue,30,0.7,30,1.8,0.0,991,1125,0.97,1
donbas_rural.jpg,orb,30,0.7,30,1.8,0.4,178,207,1.93,1
donbas_rural.jpg,superpoint_lightglue,30,0.7,30,1.8,0.4,877,1081,1.57,1
donbas_rural.jpg,orb,30,0.7,90,1.0,0.0,377,425,4.90,1
donbas_rural.jpg,superpoint_lightglue,30,0.7,90,1.0,0.0,6,42,1609.34,0
donbas_rural.jpg,orb,30,0.7,90,1.0,0.4,300,324,1.31,1
donbas_rural.jpg,superpoint_lightglue,30,0.7,90,1.0,0.4,5,31,1089.05,0
donbas_rural.jpg,orb,30,0.7,90,1.8,0.0,237,324,16.77,0
donbas_rural.jpg,superpoint_lightglue,30,0.7,90,1.8,0.0,6,48,848.95,0
donbas_rural.jpg,orb,30,0.7,90,1.8,0.4,208,244,6.05,0
